,radiant_1,radiant_2,radiant_3,radiant_4,radiant_5,dire_1,dire_2,dire_3,dire_4,dire_5,radiant_win,match_id
0,99,35,67,7,44,68,34,97,105,109,1,3905435898
1,23,108,54,32,88,6,98,103,14,48,1,3905435900
2,74,110,114,93,112,52,51,83,12,104,0,3905435901
3,42,7,104,53,61,2,31,47,63,90,1,3905435904
4,5,23,8,21,16,44,74,91,78,26,1,3905435906
5,54,63,42,25,22,21,48,90,73,100,0,3905435928
6,18,34,62,73,101,93,36,17,79,99,0,3905435934
7,2,14,101,29,22,27,48,56,109,54,0,3905435937
8,63,8,23,26,22,17,7,16,12,119,1,3905435938
9,2,108,74,29,67,12,54,21,101,23,1,3905435939
10,54,74,4,5,34,29,119,101,64,41,0,3905435941
11,1,76,22,60,97,4,17,74,90,21,0,3905435946
12,101,87,44,30,10,41,34,119,40,100,1,3905435948
13,16,35,14,74,18,2,88,5,107,6,1,3905435949
14,8,56,45,14,57,23,93,21,106,22,0,3905435974
15,99,5,103,47,93,8,27,25,21,60,0,3905435975
16,14,63,43,64,72,8,22,30,48,57,1,3905435980
17,14,21,8,84,114,4,11,35,23,63,1,3905435984
18,76,7,104,74,4,23,41,12,6,86,1,3905435988
19,20,39,44,51,3,10,19,78,14,100,1,3905435989
20,14,74,8,60,9,34,64,90,67,29,0,3905435991
21,69,48,22,47,32,1,64,74,30,71,1,3905435993
22,12,23,62,119,94,9,78,84,81,74,0,3905436011
23,98,35,23,86,57,8,22,100,17,32,0,3905436013
24,32,31,17,67,53,41,106,84,68,108,1,3905436015
25,84,46,2,8,22,106,44,120,79,5,1,3905436017
26,22,58,99,104,35,114,30,56,62,12,1,3905436019
27,14,74,108,22,10,44,16,47,79,38,1,3905436022
28,99,21,63,90,30,60,64,1,7,43,1,3905436023
29,4,95,93,22,53,106,8,5,82,29,0,3905436026
30,76,30,14,41,71,96,67,5,2,17,0,3905436030
31,74,27,2,28,4,90,35,23,104,32,1,3905436031
32,69,14,17,41,52,11,100,54,84,13,1,3905436040
33,44,84,7,9,94,41,31,74,43,12,0,3905436060
34,8,36,27,87,106,75,31,21,48,14,1,3905436061
35,41,108,107,75,106,74,48,16,100,53,0,3905436063
36,10,101,7,88,108,47,32,8,28,52,0,3905436068
37,14,67,59,1,44,16,21,71,47,2,1,3905436069
38,45,67,74,22,7,63,34,111,59,60,1,3905436079
39,100,18,36,7,28,60,30,52,108,41,1,3905436080
40,112,99,18,25,45,37,94,95,58,28,0,3905436081
41,41,31,34,103,35,11,71,26,27,10,1,3905436082
42,113,93,31,13,98,100,75,1,97,85,1,3905436092
43,4,44,30,99,22,21,23,93,120,57,1,3905436095
44,12,5,28,11,50,26,58,93,22,91,0,3905436097
45,94,62,104,54,84,74,41,30,44,33,0,3905436099
46,20,80,23,88,28,95,101,21,14,74,0,3905436101
47,2,48,22,27,31,54,34,14,86,120,0,3905436105
48,41,114,56,35,22,93,102,64,21,43,1,3905436108
49,106,5,81,26,35,7,25,8,85,14,0,3905436111
50,26,53,95,21,97,8,119,105,25,110,0,3905436112
51,28,112,10,72,99,94,32,14,74,16,1,3905436114
52,16,52,9,44,14,81,100,74,26,97,0,3905436115
53,107,7,44,42,40,6,36,96,60,91,0,3905436118
54,23,26,103,40,70,28,86,20,4,46,1,3905436119
55,77,103,44,68,1,12,86,34,97,75,1,3905436121
56,4,6,101,44,77,21,113,95,48,40,0,3905436153
57,51,104,86,35,63,59,19,9,74,7,1,3905436155
58,108,86,75,44,60,28,5,11,27,81,0,3905436156
59,17,14,99,72,87,27,5,48,82,2,0,3905436157
60,59,29,8,86,107,48,6,21,18,20,0,3905436158
61,102,6,68,86,104,14,8,76,99,75,1,3905436159
62,5,63,42,8,74,40,120,21,1,57,0,3905436160
63,23,93,88,25,75,63,14,92,31,48,0,3905436164
64,49,100,119,41,63,105,114,106,29,68,1,3905436165
65,84,11,51,67,111,74,35,7,105,20,1,3905436168
66,87,37,93,104,35,5,6,23,60,10,0,3905436175
67,42,51,75,21,31,34,30,41,120,68,1,3905436201
68,74,14,113,26,93,30,23,80,104,44,0,3905436202
69,60,18,45,7,9,21,23,57,35,104,1,3905436204
70,14,98,78,44,48,13,2,64,9,1,1,3905436205
71,63,23,93,84,56,88,20,7,44,82,0,3905436208
72,93,14,42,13,61,67,101,8,51,23,1,3905436214
73,95,40,119,75,99,44,74,3,86,35,1,3905436217
74,53,74,44,4,50,14,104,2,13,111,1,3905436218
75,35,36,32,93,4,8,108,110,14,2,0,3905436221
76,48,14,31,45,11,34,23,84,93,98,1,3905436224
77,67,21,108,40,25,50,8,22,42,63,0,3905436245
78,34,86,75,101,42,31,8,6,14,43,0,3905436247
79,50,2,114,88,25,32,101,99,48,119,0,3905436250
80,87,98,14,44,41,11,8,82,74,94,0,3905436251
81,86,17,120,30,12,93,14,99,23,48,0,3905436255
82,82,11,32,35,81,21,62,99,49,63,1,3905436256
83,22,32,69,104,53,49,11,7,19,44,1,3905436262
84,30,119,78,10,21,25,37,26,48,57,1,3905436265
85,93,12,40,113,31,26,14,106,67,97,1,3905436266
86,10,119,84,114,25,76,43,93,26,88,1,3905436268
87,2,21,93,25,83,64,35,99,44,14,1,3905436271
88,67,47,57,55,14,22,27,56,28,9,0,3905436272
89,26,17,28,32,54,36,14,48,97,62,0,3905436276
90,52,29,5,12,91,99,70,8,31,76,0,3905436301
91,99,95,74,84,14,48,75,36,12,91,0,3905436307
92,35,26,28,93,114,56,71,86,11,42,1,3905436308
93,8,48,43,40,14,70,35,49,32,7,1,3905436309
94,59,5,35,42,14,48,40,11,27,21,0,3905436312
95,63,41,72,26,97,28,1,106,42,21,0,3905436313
96,76,10,33,69,62,90,11,7,48,68,1,3905436314
97,36,8,22,48,88,14,29,44,45,42,1,3905436318
98,86,42,88,44,74,35,25,51,14,18,0,3905436323
99,67,51,7,40,56,99,84,43,8,5,1,3905436347
100,70,99,88,114,14,95,16,42,62,28,0,3905436348
101,76,93,30,120,42,33,106,15,74,37,1,3905436350
102,35,8,39,4,67,9,5,60,44,14,0,3905436352
103,104,14,9,64,23,5,75,95,48,63,0,3905436356
104,106,107,16,99,10,63,89,5,17,69,1,3905436357
105,16,86,30,34,8,72,39,45,119,71,1,3905436358
106,14,82,56,67,50,120,18,49,35,81,1,3905436359
107,26,23,21,8,71,60,56,32,104,27,0,3905436364
108,1,86,68,17,9,32,4,10,101,41,1,3905436372
109,22,14,47,48,83,99,23,16,40,9,1,3905436398
110,64,17,28,41,2,85,22,21,8,5,0,3905436400
111,69,17,88,73,21,2,76,86,20,1,0,3905436401
112,2,6,69,57,10,101,60,44,93,15,1,3905436403
113,22,83,67,39,40,75,104,26,1,31,0,3905436404
114,74,107,1,5,14,106,22,23,17,112,1,3905436406
115,93,22,104,120,44,89,114,14,21,99,1,3905436410
116,35,107,97,10,30,74,39,14,84,76,0,3905436412
117,14,32,70,86,104,44,73,10,107,71,0,3905436413
118,67,27,96,4,101,95,2,9,33,35,0,3905436415
119,114,17,23,36,84,75,67,110,19,16,1,3905436416
120,22,56,97,99,5,114,50,93,88,47,0,3905436418
121,18,26,5,23,99,11,57,114,14,71,0,3905436439
122,35,62,54,63,87,14,18,42,5,85,0,3905436445
123,86,94,97,44,107,5,12,56,9,32,0,3905436447
124,69,6,106,7,48,114,35,10,51,100,0,3905436451
125,22,54,70,35,27,67,56,73,14,74,0,3905436453
126,75,119,4,11,7,26,56,20,34,1,0,3905436454
127,27,4,6,74,104,68,11,21,32,67,0,3905436455
128,11,97,48,27,87,29,82,20,9,56,1,3905436482
129,70,1,9,47,27,23,114,21,26,95,1,3905436484
130,7,27,4,101,95,44,41,11,59,32,1,3905436485
131,25,22,17,1,96,101,30,88,54,15,1,3905436486
132,14,119,41,101,98,18,22,42,11,2,0,3905436488
133,11,104,27,91,48,100,114,112,47,37,0,3905436522
134,42,85,22,9,83,25,48,14,5,45,1,3905436529
135,41,6,119,19,14,91,37,106,54,57,0,3905436531
136,22,114,62,84,106,95,87,34,16,14,1,3905436534
137,7,88,119,14,93,94,52,51,35,64,0,3905436535
138,26,35,57,75,93,99,40,13,109,30,1,3905436538
139,31,18,119,8,74,69,27,25,73,101,1,3905436539
140,41,90,23,104,99,93,11,14,85,119,0,3905436540
141,86,17,109,73,14,68,36,8,89,35,1,3905436541
142,82,41,67,11,42,22,64,21,81,114,0,3905436559
143,26,97,17,8,7,37,42,84,93,22,1,3905436561
144,100,99,47,25,41,64,26,43,93,44,0,3905436563
145,14,94,100,71,12,22,4,77,88,48,1,3905436565
146,97,99,86,101,56,48,100,4,74,45,0,3905436568
147,60,71,81,46,26,95,84,14,34,18,1,3905436569
148,14,4,93,32,12,71,11,2,84,42,0,3905436571
149,41,22,40,21,51,60,90,48,11,7,0,3905436573
150,34,102,67,14,86,12,2,39,7,89,1,3905436575
151,35,20,22,72,19,99,32,104,114,49,0,3905436582
152,113,34,35,96,62,48,64,68,99,93,0,3905436587
153,4,106,34,68,71,14,79,41,8,74,1,3905436589
154,25,39,78,89,109,32,104,44,23,75,0,3905436591
155,18,33,35,39,42,14,73,6,47,59,0,3905436604
156,36,101,21,48,23,114,42,71,11,86,0,3905436605
157,21,26,32,72,6,14,15,106,85,99,1,3905436608
158,28,74,101,76,41,47,68,5,2,12,0,3905436609
159,37,1,14,10,19,100,35,71,106,87,0,3905436612
160,17,31,41,14,67,104,6,105,109,81,1,3905436615
161,70,22,19,75,14,63,74,30,2,58,1,3905436616
162,11,17,32,8,44,4,10,104,2,114,0,3905436623
163,21,22,87,93,50,28,41,79,39,88,0,3905436624
164,113,55,28,1,74,41,84,64,95,54,0,3905436625
